Sample	ic50
M1	5086.24
M1	5442.62
M1	5915.03
M1	5987.6
M1	6618.38
M1	7069.17
M1	7417.7
M1	7419.86
M1	7431.27
M1	8007.39
M1	8378.75
M1	8378.75
M1	8400.45
M1	8994.49
M1	9132.57
M1	9132.57
M1	9132.57
M1	9154.33
M1	9299.58
M1	9460.95
M1	9763.05
M1	9812.71
M1	9932.13
M1	10232.66
M1	10395.24
M1	10506.17
M1	10693.91
M1	10761.23
M1	11182.25
M1	11340.28
M1	11357.96
M1	11509.87
M1	11799.39
M1	11844.67
M1	11863.91
M1	11863.91
M1	11917.81
M1	11921.04
M1	12063.64
M1	12068.34
M1	12180.1
M1	12209.13
M1	12282.14
M1	12569.57
M1	12569.57
M1	12679.11
M1	12803.88
M1	13130.62
M1	13431.81
M1	13527.04
M1	13604.54
M1	13626.64
M1	13669.46
M1	13704.27
M1	13721.77
M1	14149.2
M1	14378.68
M1	14477.5
M1	14686.07
M1	14690.68
M1	15243.32
M1	15243.32
M1	15262.63
M1	15272.87
M1	15272.87
M1	15282.29
M1	15282.29
M1	15282.29
M1	15508.16
M1	15580.99
M1	15621.16
M1	15716.1
M1	15716.1
M1	15868.51
M1	15965.98
M1	16163.26
M1	16296.38
M1	16356.61
M1	16376.79
M1	16422.58
M1	16623.33
M1	16793.64
M1	16857.71
M1	16872.49
M1	17027.09
M1	17109.1
M1	17140.59
M1	17193.71
M1	17242.34
M1	17244.19
M1	17307.38
M1	17307.38
M1	17514.4
M1	17630.96
M1	17647.56
M1	17732.93
M1	17735.81
M1	17794.04
M1	17885.54
M1	17902.58
M1	17971.08
M1	18135.36
M1	18170.71
M1	18175.43
M1	18218.94
M1	18301.14
M1	18387.87
M1	18577.65
M1	18706.13
M1	18969.88
M1	19045.35
M1	19045.35
M1	19119.68
M1	19148.87
M1	19298.63
M1	19355.29
M1	19401.63
M1	19454.82
M1	19454.82
M1	19475.46
M1	19486
M1	19555.27
M1	19853.53
M1	19999.49
M1	19999.49
M1	20117.99
M1	20301.67
M1	20482.14
M1	20528.07
M1	20679.67
M1	20761.71
M1	20992.35
M1	20992.35
M1	21004.85
M1	21012.8
M1	21020.76
M1	21133.64
M1	21355.68
M1	21361.23
M1	21534.58
M1	21583.33
M1	21811.04
M1	21811.04
M1	21864.45
M1	22040.92
M1	22091.06
M1	22139.88
M1	22146.59
M1	22146.59
M1	22213.3
M1	22225.31
M1	22306.99
M1	22347.58
M1	22695.05
M1	22773.27
M1	22833.22
M1	22867.84
M1	22915.39
M1	22956.08
M1	23022.25
M1	23341.04
M1	23379.71
M1	23488.22
M1	23566.12
M1	23627.4
M1	23635.07
M1	23810.9
M1	23835.9
M1	23933.06
M1	23960.54
M1	24018.94
M1	24040.51
M1	24099.11
M1	24142.7
M1	24329.93
