id	dT_4_S4_L001	dT_4_S4_L002	dT_4_S4_L003	dT_4_S4_L004	dT_5_S5_L001	dT_5_S5_L002	dT_5_S5_L003	dT_5_S5_L004	dT_6_S6_L001	dT_6_S6_L002	dT_6_S6_L003	dT_6_S6_L004	rRNA_7_S7_L001	rRNA_7_S7_L002	rRNA_7_S7_L003	rRNA_7_S7_L004	rRNA_8_S8_L001	rRNA_8_S8_L002	rRNA_8_S8_L003	rRNA_8_S8_L004	rRNA_9_S9_L001	rRNA_9_S9_L002	rRNA_9_S9_L003	rRNA_9_S9_L004	Total_1_S1_L001	Total_1_S1_L002	Total_1_S1_L003	Total_1_S1_L004	Total_2_S2_L001	Total_2_S2_L002	Total_2_S2_L003	Total_2_S2_L004	Total_3_S3_L001	Total_3_S3_L002	Total_3_S3_L003	Total_3_S3_L004
LOC108842606	0	0	0	0	0	0	0	0	1	0	0	1	2	4	3	3	3	5	2	2	6	4	4	2	1	1	2	0	0	2	0	1	0	3	2	0
RadishC_t016	0	0	0	0	0	1	1	1	0	0	1	1	2	0	1	3	1	1	0	0	3	2	1	3	1	2	2	3	0	5	3	6	4	2	3	1
C327_r01	2	2	1	0	0	0	0	0	2	1	3	2	2	4	1	3	5	4	2	2	0	2	0	0	0	2	0	2	0	0	0	6	1	0	0	4
LOC108824202	0	1	2	0	5	1	3	2	3	1	5	1	2	2	5	0	1	2	1	2	2	0	1	1	2	3	0	0	0	0	1	1	0	2	0	1
LOC108857827	3	4	3	0	0	1	0	0	0	0	0	0	2	2	0	4	0	2	0	0	2	4	2	2	4	1	0	3	0	0	3	0	0	0	10	1
LOC108839942	1	0	0	2	0	0	0	0	0	0	0	0	0	2	2	2	2	6	5	5	7	4	4	8	0	1	0	1	0	0	0	0	0	0	0	0
LOC108862948	1	4	1	1	3	1	1	0	1	1	0	1	0	0	0	0	0	4	6	0	3	2	1	2	2	2	0	2	0	2	1	2	2	2	4	0
LOC108854599	0	0	1	0	0	0	0	0	3	0	0	1	0	2	3	0	1	0	0	1	1	3	8	3	1	0	3	2	0	5	1	1	2	3	3	2
LOC108808357	1	1	3	1	1	0	2	0	1	0	1	4	0	0	0	2	0	0	1	0	0	1	2	0	6	2	3	1	0	8	4	0	1	1	1	1
LOC108831050	0	0	1	0	2	0	1	0	0	0	0	0	3	2	1	2	0	0	0	0	2	3	1	3	4	0	1	8	0	6	0	3	3	2	1	0
LOC108842139	4	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	4	6	1	4	3	1	4	4	0	2	0	1	0	0	3	2	0	2	1	1
LOC108823137	0	4	0	1	1	0	0	0	1	1	0	2	0	1	2	3	2	2	4	4	0	4	2	0	0	0	2	0	0	3	2	1	0	1	4	1
LOC108827395	1	1	0	1	0	1	1	0	2	2	1	1	2	1	1	5	2	3	5	1	2	3	3	3	0	0	0	4	0	0	0	0	0	0	1	1
LOC108831008	2	1	2	0	0	2	1	0	0	1	2	0	1	2	4	2	3	4	5	3	1	3	4	5	0	0	0	0	0	0	0	0	0	0	0	0
